codigo,marca,tipo,categoria,preco_unitario,custo,obs
1,Reebok,Boné,Fitness,252.95,11.74,Disponível em várias cores
2,Nike,Mochila,Casual,786.01,465.29,Novo Modelo
3,Adidas,Meia,Yoga,928.49,432.66,
4,Adidas,Camisa,Basquete,900.25,351.79,
5,Reebok,Sapato,Esporte,525.98,393.33,Edição Limitada
6,Reebok,Calça,Esporte,445.91,89.88,Novo Modelo
7,Fila,Meia,Treino,655.26,302.31,Novo Modelo
8,Mizuno,Calça,Basquete,417.26,161.04,Novo Modelo
9,Fila,Mochila,Casual,475.82,272.14,Edição Limitada
10,Under Armour,Short,Futebol,217.32,323.16,Disponível em várias cores
